comment,likes,replies,engagement,label,length,clean_comment,label_id
guys be wise masalah begini tuh krusial banget as we know jadwal kai itu padet satu berangkat satu dateng makanya ga boleh telat di setiap jadwal keberangkatan kereta karena kalau telatdelay bakal ngaruh ke jadwal kereta lain masalah sinyal error ini msih belum jelas tapi gua sedikit nanya ke ai gimana cara kerja si signal ini dan yaa paling possible itu karena false clear loss of shunt kemudian bisa jga karena human error keduanya sangat mungkin terjadi mereka ngejalanin operasional dalam puluhan tahun tanpa kesalahan fatal itu udah bagus banget dan yaa this is the time it happened bijak temen temen dan bantu teman teman disana dengan doa,11912,31,11943,positif,647,guys be wise masalah begini tuh krusial banget as we know jadwal kai itu padet satu berangkat satu dateng makanya ga boleh telat di setiap jadwal keberangkatan kereta karena kalau telatdelay bakal ngaruh ke jadwal kereta lain masalah sinyal error ini msih belum jelas tapi gua sedikit nanya ke ai gimana cara kerja si signal ini dan yaa paling possible itu karena false clear loss of shunt kemudian bisa jga karena human error keduanya sangat mungkin terjadi mereka ngejalanin operasional dalam puluhan tahun tanpa kesalahan fatal itu udah bagus banget dan yaa this is the time it happened bijak temen temen dan bantu teman teman disana dengan doa,2
please give time stamps so people can understand better,1211,9,1220,netral,55,please give time stamps so people can understand better,1
argo bromo ini kereta malam cepat dan cuma berhenti di stasiun besar aja menit udah sampai bekasi lo cepet bgt kalau misalkanpun ga eror ga sampe  menit suruh rem kayaknya susah juga,15229,80,15309,netral,182,argo bromo ini kereta malam cepat dan cuma berhenti di stasiun besar aja menit udah sampai bekasi lo cepet bgt kalau misalkanpun ga eror ga sampe menit suruh rem kayaknya susah juga,1
gokil bgt ada yang nyalahin presiden ,44993,346,45339,negatif,37,gokil bgt ada yang nyalahin presiden,0
"semua pihak harus bertanggung jawab
 taxi mogok di perlintasan kalo baterai habis salah taxi dan sopir kalo bukan baterai habis failure dari vinvast
 perlintasan tanpa palang artinya salah pemkot bekasi karena pasti pt kai maunya jalur steril dan kewenangan tutup jalur itu ada di pemkot bekasi
 keterlambatan ngirim sinyal ke argo bromo artinya kesalahan di pegawai pt kai
pemkot dan kai harus klarifikasi kenapa perlintasan tidak ditutup permanen taxi sopir dan vinfast harus klarifikasi kondisi mobil",1843,68,1911,netral,503,semua pihak harus bertanggung jawab taxi mogok di perlintasan kalo baterai habis salah taxi dan sopir kalo bukan baterai habis failure dari vinvast perlintasan tanpa palang artinya salah pemkot bekasi karena pasti pt kai maunya jalur steril dan kewenangan tutup jalur itu ada di pemkot bekasi keterlambatan ngirim sinyal ke argo bromo artinya kesalahan di pegawai pt kai pemkot dan kai harus klarifikasi kenapa perlintasan tidak ditutup permanen taxi sopir dan vinfast harus klarifikasi kondisi mobil,1
faktanya guys argo bromo itu salah satu anak emasnya kai paling diprioritaskan melintas paling kencang di  kmjam dan salah satu kereta yg pemberhentiannya paling sedikit nah kebetulan argo bromo tidak berhenti di stasiun bektim dia cuma lewat aja jadi bisa kalian bayangin sekencang apa argo bromo itu menubruk krl yang lagi berhenti di stasiun bekasi timur itu,98228,99,98327,netral,361,faktanya guys argo bromo itu salah satu anak emasnya kai paling diprioritaskan melintas paling kencang di kmjam dan salah satu kereta yg pemberhentiannya paling sedikit nah kebetulan argo bromo tidak berhenti di stasiun bektim dia cuma lewat aja jadi bisa kalian bayangin sekencang apa argo bromo itu menubruk krl yang lagi berhenti di stasiun bekasi timur itu,1
berawal dari  orang ga sabaran ,38298,71,38369,negatif,31,berawal dari orang ga sabaran,0
kok fokusnya k kesalahan kai yg menyangkut signal ya si taxi aman ini padahal faktor utama bisa terjadi kecelakaan ya karna si taxi nangkring d jalur kereta oke permasalahan signal ttp harus d evaluasi sebaik mungkin namun d luar itu ini taxi yg jd faktor utama jng sampai lepas si sopir dan yg punya taxi ada andil utk kejadian ini semua tolong d pantau juga yaa,2652,8,2660,negatif,363,kok fokusnya k kesalahan kai yg menyangkut signal ya si taxi aman ini padahal faktor utama bisa terjadi kecelakaan ya karna si taxi nangkring d jalur kereta oke permasalahan signal ttp harus d evaluasi sebaik mungkin namun d luar itu ini taxi yg jd faktor utama jng sampai lepas si sopir dan yg punya taxi ada andil utk kejadian ini semua tolong d pantau juga yaa,0
good job visualnya keren bget jd paham,50,0,50,positif,38,good job visualnya keren bget jd paham,2
visualisasi nya bagus bgt,81,0,81,positif,25,visualisasi nya bagus bgt,2
